attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality_impact,integrity_impact,availability_impact,epss_score,exploit_maturity,days_since_published,severity
network,low,none,none,unchanged,low,none,none,0.0405,unproven,300,medium
local,low,none,required,unchanged,low,high,high,0.0554,poc,54,high
physical,low,none,none,changed,high,low,low,0.0508,functional,461,high
network,low,none,none,unchanged,high,low,high,0.2709,unproven,90,critical
network,low,none,required,unchanged,low,high,none,0.0189,functional,120,high
network,low,none,required,unchanged,none,low,high,0.146,poc,227,high
network,low,low,none,unchanged,none,high,low,0.0441,unproven,229,high
adjacent,low,low,none,unchanged,high,low,none,0.1376,functional,317,medium
network,low,high,none,unchanged,none,none,low,0.0196,poc,297,low
network,low,low,none,changed,high,high,none,0.2146,unproven,360,critical
physical,high,low,required,unchanged,high,none,none,0.1093,poc,129,low
network,low,low,none,changed,high,low,low,0.0347,unproven,103,high
local,low,low,none,changed,none,low,none,0.0487,poc,286,medium
local,low,none,required,changed,low,low,high,0.1346,unproven,352,high
network,low,none,none,unchanged,low,none,none,0.12,high,187,medium
network,low,none,none,unchanged,high,high,none,0.1201,high,234,critical
network,high,none,none,changed,high,low,high,0.0153,poc,283,high
adjacent,low,high,none,unchanged,high,low,high,0.0509,unproven,157,medium
network,low,none,none,unchanged,low,high,none,0.2885,unproven,87,high
network,high,low,required,unchanged,low,high,none,0.1835,poc,19,medium
network,high,none,none,unchanged,low,none,low,0.2825,unproven,143,medium
adjacent,low,none,none,unchanged,high,low,low,0.1483,poc,262,high
adjacent,low,high,required,unchanged,none,none,low,0.0048,poc,433,low
local,low,low,none,unchanged,high,high,high,0.0495,unproven,109,high
network,low,low,none,unchanged,low,none,low,0.1605,poc,148,medium
local,high,high,none,unchanged,high,high,none,0.1017,unproven,84,medium
network,high,none,none,unchanged,low,high,low,0.0367,unproven,82,high
adjacent,low,none,required,unchanged,high,low,none,0.0382,unproven,183,medium
network,high,none,required,changed,high,low,high,0.1227,functional,290,high
local,high,none,required,unchanged,none,high,high,0.1392,functional,126,medium
local,low,high,none,unchanged,none,low,none,0.2182,poc,84,low
local,high,high,required,unchanged,low,high,low,0.0009,poc,161,medium
network,high,none,none,changed,none,low,high,0.0623,functional,118,medium
network,low,low,none,unchanged,none,none,none,0.0189,unproven,343,low
adjacent,low,low,none,unchanged,low,low,high,0.1006,high,25,medium
network,low,none,required,changed,low,high,low,0.1428,functional,308,high
local,high,low,none,changed,none,low,high,0.0297,high,170,medium
adjacent,low,low,none,unchanged,low,low,none,0.0308,unproven,246,medium
adjacent,low,none,none,unchanged,low,low,high,0.15,poc,24,high
network,low,low,required,unchanged,low,low,low,0.0332,high,177,medium
network,low,low,required,unchanged,high,high,low,0.1372,functional,222,high
network,high,low,none,unchanged,none,none,low,0.1135,unproven,370,low
local,low,low,required,unchanged,low,low,none,0.0504,poc,594,low
local,low,high,required,changed,low,low,high,0.0513,unproven,150,medium
network,low,none,required,unchanged,low,high,none,0.0525,poc,219,medium
network,low,none,none,unchanged,high,low,none,0.1717,poc,361,high
network,low,low,none,changed,high,low,high,0.1362,functional,253,critical
adjacent,low,low,required,unchanged,none,low,none,0.1833,unproven,411,low
network,low,high,none,unchanged,high,low,none,0.0546,unproven,334,medium
network,low,low,required,changed,none,high,low,0.0749,poc,32,high
adjacent,low,none,none,unchanged,low,low,high,0.1218,poc,19,high
network,low,none,none,changed,low,none,none,0.1612,poc,319,medium
network,low,none,required,unchanged,low,high,none,0.2606,unproven,135,medium
network,low,none,required,changed,low,high,high,0.0928,poc,57,critical
network,low,high,required,unchanged,low,none,high,0.231,unproven,153,medium
network,low,low,required,unchanged,none,low,none,0.0869,high,71,medium
network,low,none,required,changed,none,high,high,0.1388,unproven,74,critical
network,high,low,required,unchanged,high,none,none,0.2557,unproven,223,medium
local,low,none,required,changed,low,low,low,0.3791,functional,211,medium
adjacent,low,low,required,unchanged,high,none,high,0.0122,unproven,436,medium
local,low,high,required,unchanged,none,none,high,0.0139,unproven,73,medium
adjacent,low,none,none,changed,high,low,low,0.0345,functional,197,critical
network,low,low,required,unchanged,none,high,none,0.0474,poc,471,medium
network,low,high,none,changed,high,low,low,0.0117,unproven,183,medium
adjacent,low,low,required,unchanged,high,none,high,0.0833,high,413,medium
local,low,low,none,unchanged,low,low,low,0.3022,unproven,84,medium
network,high,low,none,unchanged,low,none,high,0.0818,poc,519,medium
local,high,high,required,unchanged,none,low,high,0.0433,poc,34,medium
network,low,none,required,unchanged,none,low,none,0.2459,unproven,86,medium
network,low,none,required,unchanged,none,low,low,0.0588,poc,289,medium
network,low,low,required,unchanged,high,low,low,0.0094,poc,165,medium
network,low,low,none,unchanged,low,none,low,0.1615,unproven,250,medium
local,high,low,none,changed,low,high,high,0.3301,functional,305,high
physical,low,low,none,unchanged,high,low,high,0.1103,poc,164,medium
network,low,none,none,changed,low,high,none,0.2353,poc,74,critical
network,low,low,none,unchanged,high,low,low,0.1311,functional,75,medium
local,low,none,required,unchanged,none,high,high,0.0683,unproven,37,high
network,low,low,none,unchanged,low,none,none,0.0773,unproven,456,low
physical,low,none,none,unchanged,high,none,none,0.0661,high,82,medium
network,low,none,none,unchanged,low,low,high,0.1711,poc,170,high
network,low,none,none,unchanged,none,none,none,0.0844,poc,237,low
physical,low,high,none,changed,high,none,none,0.0504,poc,214,medium
local,low,low,none,changed,none,none,low,0.048,unproven,226,low
adjacent,low,low,none,unchanged,none,high,high,0.0898,high,578,high
network,high,high,none,unchanged,high,low,high,0.0565,unproven,648,medium
adjacent,low,none,required,unchanged,low,high,low,0.0998,unproven,115,medium
network,low,none,none,unchanged,high,none,none,0.0174,functional,417,high
network,high,none,none,changed,low,none,low,0.159,unproven,268,medium
local,low,low,none,unchanged,low,low,high,0.0266,poc,246,medium
network,low,high,required,unchanged,high,high,none,0.116,poc,112,medium
network,low,none,none,unchanged,low,low,none,0.1229,functional,377,medium
network,low,none,none,unchanged,low,low,none,0.1261,high,243,high
local,low,none,required,changed,high,high,high,0.0084,unproven,186,critical
local,low,low,none,unchanged,high,high,high,0.0737,unproven,446,high
local,high,none,required,unchanged,low,low,none,0.1369,functional,60,low
network,low,low,none,unchanged,none,low,high,0.1253,unproven,341,high
local,low,low,none,unchanged,high,high,high,0.0282,unproven,245,high
network,high,high,none,unchanged,none,none,none,0.1015,unproven,96,low
network,high,high,none,unchanged,high,high,low,0.1211,unproven,105,medium
local,low,none,required,unchanged,low,high,high,0.0677,unproven,99,high
network,high,low,required,unchanged,high,high,none,0.1854,poc,329,medium
network,low,low,none,unchanged,none,none,none,0.0629,functional,96,low
network,high,high,none,unchanged,high,high,high,0.0527,high,239,medium
local,low,none,none,changed,high,low,low,0.0648,functional,255,high
network,high,none,required,unchanged,low,low,low,0.0433,poc,93,medium
network,high,high,none,unchanged,high,high,none,0.1463,high,101,medium
adjacent,high,low,required,unchanged,high,high,none,0.1064,unproven,219,medium
network,low,none,required,unchanged,low,low,high,0.1526,poc,59,high
network,low,none,required,unchanged,high,none,high,0.0526,functional,322,high
network,high,none,none,changed,low,low,high,0.0485,functional,99,high
local,high,low,required,unchanged,low,high,low,0.135,unproven,398,medium
network,high,low,none,changed,none,high,none,0.251,functional,387,medium
network,high,none,required,unchanged,high,none,high,0.0563,unproven,531,medium
local,high,none,required,changed,high,none,none,0.0348,unproven,92,medium
network,low,low,none,unchanged,low,low,high,0.0453,poc,94,high
network,low,low,none,changed,high,low,high,0.0616,poc,149,critical
network,low,low,none,changed,high,high,high,0.0329,functional,604,critical
local,low,low,none,changed,none,low,low,0.1739,unproven,132,medium
network,low,high,required,unchanged,high,high,none,0.1364,high,301,medium
local,high,none,required,unchanged,low,none,none,0.0671,unproven,547,low
local,low,none,required,unchanged,high,none,high,0.2021,unproven,351,high
local,low,low,required,unchanged,none,high,high,0.0415,unproven,182,medium
adjacent,high,high,none,unchanged,high,low,high,0.1531,unproven,8,medium
adjacent,high,low,required,changed,none,none,high,0.0848,functional,232,medium
local,low,none,none,unchanged,high,low,high,0.191,poc,807,high
network,low,low,required,unchanged,high,low,low,0.2639,high,414,medium
local,low,none,none,changed,low,high,low,0.2713,functional,521,critical
local,low,none,none,unchanged,high,high,none,0.1345,unproven,273,high
network,low,none,none,unchanged,none,high,high,0.1153,unproven,352,critical
adjacent,low,none,none,unchanged,low,none,high,0.1982,unproven,154,high
local,low,low,required,unchanged,low,low,high,0.1672,poc,41,medium
physical,low,none,none,unchanged,high,high,high,0.0551,poc,27,medium
local,low,high,none,unchanged,high,high,high,0.1385,unproven,39,medium
adjacent,low,none,none,unchanged,high,none,high,0.1082,poc,146,high
network,high,none,none,unchanged,high,none,high,0.058,functional,62,high
network,low,high,required,changed,low,low,high,0.1665,functional,92,medium
network,low,none,required,changed,high,high,high,0.0069,poc,219,critical
network,high,none,required,unchanged,high,low,high,0.0561,unproven,545,high
network,low,none,required,changed,low,none,high,0.1094,high,55,high
network,low,none,none,unchanged,low,high,none,0.0508,unproven,575,high
physical,high,none,none,unchanged,low,high,none,0.1704,unproven,534,medium
network,low,low,none,changed,none,low,high,0.1204,unproven,467,high
network,low,low,none,changed,high,low,none,0.0283,poc,457,high
local,low,high,none,unchanged,low,low,high,0.2673,functional,151,medium
network,low,low,required,changed,high,low,none,0.0089,poc,161,medium
network,high,low,none,changed,low,high,high,0.1057,poc,262,high
physical,high,none,none,unchanged,high,high,none,0.1679,unproven,194,medium
network,low,none,none,unchanged,low,high,high,0.0327,poc,132,critical
local,low,none,required,unchanged,high,none,low,0.0559,unproven,68,medium
network,low,none,required,unchanged,low,none,none,0.0755,high,223,low
adjacent,low,low,required,changed,none,high,high,0.0474,unproven,297,high
adjacent,high,none,none,unchanged,high,high,high,0.154,poc,267,high
network,low,high,none,unchanged,none,high,low,0.0733,unproven,354,medium
network,low,high,none,unchanged,low,low,high,0.1769,unproven,69,medium
network,low,high,none,changed,low,low,high,0.0296,poc,362,high
local,low,none,required,unchanged,high,low,low,0.1164,functional,309,medium
network,low,low,none,unchanged,low,high,low,0.0643,functional,222,high
adjacent,low,high,none,changed,high,none,high,0.1063,functional,225,medium
adjacent,low,none,required,changed,low,high,none,0.0805,functional,201,high
network,low,none,none,unchanged,high,low,high,0.0877,unproven,150,critical
network,high,none,required,changed,high,high,high,0.0406,unproven,174,high
network,high,none,none,changed,low,low,none,0.0238,functional,347,medium
local,low,low,none,unchanged,low,high,high,0.2329,poc,414,high
local,high,none,none,changed,high,none,low,0.0654,poc,84,medium
local,low,high,none,changed,low,high,low,0.0253,unproven,248,medium
adjacent,low,low,none,unchanged,high,low,low,0.135,poc,746,medium
adjacent,low,none,none,unchanged,high,high,high,0.0525,unproven,101,critical
adjacent,low,none,none,unchanged,low,none,high,0.1336,poc,176,high
network,low,none,required,unchanged,low,high,high,0.0105,poc,46,high
network,high,none,required,changed,low,high,high,0.039,unproven,375,high
local,high,low,required,changed,high,low,high,0.0528,unproven,103,high
local,low,none,none,unchanged,none,high,none,0.229,functional,434,medium
network,low,none,none,unchanged,high,none,none,0.0942,functional,56,high
network,low,low,none,unchanged,high,low,low,0.0622,unproven,266,high
adjacent,low,none,required,changed,none,none,low,0.2279,unproven,293,low
network,low,low,required,unchanged,none,high,none,0.0437,poc,266,medium
network,high,none,none,changed,low,none,high,0.1692,poc,179,medium
network,low,none,required,unchanged,high,high,none,0.1293,unproven,352,high
network,low,low,none,unchanged,low,high,high,0.082,unproven,139,high
network,low,none,none,changed,none,high,none,0.2638,poc,115,high
network,high,high,none,unchanged,low,high,high,0.0793,poc,589,medium
network,low,none,none,unchanged,low,low,high,0.1996,poc,229,high
network,low,none,required,changed,high,high,high,0.0588,unproven,197,critical
network,low,none,required,changed,low,high,none,0.0427,high,321,high
network,low,none,required,unchanged,low,high,high,0.03,unproven,60,high
network,high,none,none,unchanged,none,low,low,0.0027,poc,58,medium
adjacent,low,none,none,unchanged,none,high,low,0.2276,functional,141,high
local,low,high,none,changed,low,high,none,0.0487,functional,265,medium
local,high,low,none,changed,high,none,low,0.0984,poc,435,medium
network,high,low,none,changed,none,none,low,0.1328,unproven,490,low
physical,high,none,required,unchanged,low,none,none,0.013,unproven,419,low
physical,high,low,none,unchanged,none,high,low,0.1026,poc,406,medium
network,low,low,required,unchanged,low,low,none,0.1343,unproven,644,medium
adjacent,low,low,none,unchanged,none,high,none,0.1032,unproven,210,medium
adjacent,high,low,none,unchanged,high,low,low,0.2557,poc,219,medium
network,high,low,required,unchanged,low,none,none,0.1414,unproven,55,low
local,low,low,none,unchanged,none,none,high,0.0182,unproven,871,medium
network,low,high,required,unchanged,low,low,high,0.2169,functional,150,medium
network,low,none,none,unchanged,low,high,high,0.1159,unproven,128,critical
network,low,none,none,unchanged,none,none,high,0.0513,functional,219,high
network,low,low,none,changed,low,high,high,0.1099,unproven,789,critical
network,low,low,required,changed,low,none,low,0.1665,poc,65,medium
network,low,low,required,changed,low,high,none,0.0595,unproven,154,medium
network,low,high,none,unchanged,high,high,none,0.1205,functional,31,medium
adjacent,high,low,none,changed,high,low,low,0.1477,unproven,227,medium
local,low,high,required,unchanged,none,high,none,0.0853,unproven,72,medium
network,low,none,none,unchanged,low,high,none,0.2167,high,64,high
network,low,none,none,changed,high,high,low,0.0948,unproven,191,critical
network,low,none,required,unchanged,none,high,low,0.236,functional,63,medium
physical,low,none,required,unchanged,low,low,none,0.0371,unproven,468,low
local,low,none,none,unchanged,high,low,low,0.0182,poc,21,medium
network,low,high,required,unchanged,low,high,low,0.0306,high,274,medium
local,low,none,none,unchanged,low,none,high,0.0227,unproven,401,medium
network,low,none,none,unchanged,low,low,high,0.0999,unproven,394,high
adjacent,low,high,required,changed,low,high,high,0.1971,high,123,high
network,low,high,none,changed,none,low,high,0.1745,poc,673,medium
adjacent,low,none,required,changed,none,none,low,0.1918,functional,41,low
network,low,high,none,unchanged,high,low,high,0.0336,unproven,162,medium
network,high,none,none,unchanged,none,high,none,0.1099,unproven,256,medium
physical,low,none,none,unchanged,high,low,high,0.1723,high,121,medium
network,high,none,none,unchanged,none,none,high,0.0423,unproven,224,medium
physical,low,low,required,unchanged,high,high,high,0.1144,unproven,1088,medium
network,low,high,required,unchanged,high,high,low,0.0153,poc,260,medium
adjacent,low,none,required,unchanged,high,low,none,0.2386,unproven,254,medium
adjacent,low,none,required,unchanged,none,low,none,0.1557,functional,401,low
local,low,none,none,changed,none,none,none,0.0304,poc,58,low
network,high,none,required,unchanged,low,low,none,0.0571,unproven,180,medium
adjacent,low,none,required,changed,none,none,high,0.1426,poc,69,medium
network,low,high,required,unchanged,low,high,none,0.0036,poc,70,medium
local,low,low,required,unchanged,high,high,high,0.2737,poc,53,medium
network,high,low,none,unchanged,high,low,low,0.0892,high,251,high
network,low,high,required,unchanged,high,high,none,0.0222,unproven,222,medium
network,high,low,none,changed,high,none,high,0.2163,poc,125,high
network,low,none,none,unchanged,none,low,high,0.1953,functional,104,high
adjacent,high,none,none,unchanged,low,none,none,0.1292,poc,172,low
network,low,low,none,unchanged,low,low,none,0.0502,unproven,642,medium
network,high,none,required,unchanged,high,none,low,0.0934,functional,592,medium
local,low,none,none,unchanged,none,high,high,0.131,unproven,435,high
local,low,none,required,changed,high,none,high,0.1277,unproven,1008,high
physical,high,low,none,changed,high,low,low,0.018,unproven,214,medium
local,low,none,required,changed,low,high,none,0.0593,poc,725,high
network,high,none,none,changed,low,none,low,0.0651,functional,187,medium
network,low,none,none,changed,low,low,high,0.0395,poc,71,critical
network,low,low,none,changed,none,low,none,0.0429,unproven,112,medium
network,low,high,none,unchanged,low,low,low,0.2245,poc,229,medium
adjacent,high,none,none,unchanged,none,high,none,0.1411,unproven,354,medium
network,low,low,required,unchanged,low,low,high,0.261,unproven,104,high
adjacent,low,none,required,unchanged,low,none,none,0.0538,unproven,321,low
network,high,low,required,unchanged,low,none,low,0.0035,unproven,375,low
network,low,low,required,unchanged,high,none,high,0.0819,unproven,76,high
local,low,low,none,unchanged,low,high,high,0.1159,poc,296,high
network,high,none,none,unchanged,low,none,none,0.1498,unproven,127,low
network,low,high,required,unchanged,high,high,none,0.0023,unproven,128,medium
network,low,low,required,unchanged,low,none,high,0.0898,poc,316,medium
network,low,high,none,unchanged,none,high,low,0.1406,unproven,141,medium
network,high,high,none,unchanged,low,none,none,0.0381,unproven,322,low
adjacent,low,high,required,unchanged,high,low,low,0.1148,unproven,259,medium
network,low,high,none,unchanged,none,low,high,0.2455,unproven,102,medium
network,high,none,none,unchanged,low,none,none,0.1011,poc,360,low
network,high,low,none,unchanged,high,high,high,0.0243,unproven,267,high
network,low,high,none,unchanged,low,low,none,0.196,poc,275,medium
local,high,low,required,changed,low,low,low,0.1878,functional,168,medium
network,high,low,required,changed,high,high,low,0.0287,poc,100,high
adjacent,low,high,none,unchanged,none,none,low,0.09,poc,65,low
network,high,high,none,unchanged,low,none,high,0.0769,unproven,252,low
local,low,none,required,unchanged,low,none,none,0.029,unproven,271,low
network,low,none,none,changed,low,none,high,0.2726,poc,306,critical
network,low,none,none,unchanged,low,low,high,0.1425,unproven,109,high
local,low,none,none,changed,low,low,low,0.0231,poc,181,medium
network,low,none,none,unchanged,high,low,high,0.0824,functional,168,critical
network,high,low,required,unchanged,none,low,low,0.1707,unproven,606,low
physical,low,low,none,unchanged,low,none,high,0.143,unproven,308,medium
network,high,low,none,unchanged,low,low,none,0.0423,unproven,298,medium
network,high,low,none,unchanged,high,low,high,0.0469,unproven,398,high
network,high,low,none,changed,low,low,none,0.085,poc,169,medium
adjacent,high,high,required,changed,none,none,low,0.1013,unproven,279,low
adjacent,high,none,required,unchanged,high,high,high,0.1561,unproven,851,medium
physical,low,high,none,unchanged,none,low,high,0.1227,poc,91,medium
network,low,low,required,unchanged,high,none,none,0.1352,unproven,114,medium
physical,high,high,none,unchanged,low,none,low,0.0243,unproven,297,low
network,low,none,required,unchanged,none,low,high,0.1304,poc,515,high
network,low,none,required,changed,low,low,none,0.1409,unproven,43,medium
network,high,low,none,changed,low,high,none,0.0589,unproven,407,medium
network,low,low,required,unchanged,low,low,high,0.0728,functional,165,medium
network,low,none,none,unchanged,high,high,high,0.1319,poc,361,critical
adjacent,low,low,required,changed,high,high,high,0.0359,functional,244,high
network,low,none,none,changed,low,none,none,0.1667,unproven,316,medium
network,low,none,none,unchanged,none,low,none,0.072,unproven,159,medium
network,low,none,none,changed,low,none,high,0.0768,poc,209,critical
network,low,low,none,unchanged,high,none,none,0.0835,unproven,349,medium
network,low,high,none,unchanged,high,low,high,0.4327,poc,295,medium
network,low,low,required,unchanged,low,high,high,0.0599,poc,818,high
network,high,low,none,unchanged,low,low,low,0.1057,high,169,medium
network,low,low,none,unchanged,low,high,none,0.0188,unproven,22,medium
network,low,none,none,unchanged,high,high,high,0.1401,unproven,616,critical
local,low,none,none,changed,none,low,none,0.0776,unproven,486,low
adjacent,low,none,none,changed,none,none,high,0.0927,unproven,54,high
network,high,low,none,unchanged,high,low,high,0.0281,functional,45,medium
adjacent,low,high,required,unchanged,high,high,low,0.0706,poc,81,medium
network,low,low,none,unchanged,high,none,none,0.0251,unproven,778,medium
network,low,high,none,unchanged,low,low,none,0.316,poc,154,low
network,low,low,none,unchanged,high,none,none,0.1227,functional,70,medium
network,low,low,required,unchanged,none,high,high,0.0841,poc,121,high
local,high,low,none,unchanged,none,high,none,0.128,functional,213,low
network,low,none,none,changed,low,none,high,0.155,poc,133,critical
network,low,low,required,changed,none,low,high,0.0044,unproven,54,high
physical,low,high,required,unchanged,none,high,low,0.4211,unproven,370,medium
adjacent,high,low,none,unchanged,high,high,none,0.0982,high,448,medium
network,low,low,none,unchanged,none,low,high,0.1438,functional,391,high
network,low,low,none,changed,low,high,none,0.0717,poc,90,high
local,low,none,none,unchanged,low,low,high,0.3353,functional,141,medium
local,high,low,none,unchanged,low,none,high,0.1369,unproven,43,medium
network,low,low,required,unchanged,high,none,none,0.1135,functional,110,medium
network,low,low,required,unchanged,low,low,none,0.0187,poc,48,medium
local,low,low,required,unchanged,high,none,low,0.1126,poc,154,medium
local,low,low,required,changed,high,none,none,0.0329,high,54,medium
local,low,none,none,changed,low,low,none,0.2897,functional,271,medium
local,low,none,required,unchanged,none,low,low,0.1928,poc,110,medium
local,low,none,required,unchanged,low,high,high,0.2194,high,172,medium
network,high,low,none,unchanged,low,high,high,0.0781,unproven,310,medium
network,low,none,none,unchanged,high,high,none,0.1154,unproven,533,critical
network,low,low,required,unchanged,high,none,high,0.1242,unproven,117,high
local,low,low,required,unchanged,none,low,none,0.0914,unproven,124,low
local,low,none,none,changed,low,none,low,0.047,functional,424,medium
physical,low,low,none,unchanged,high,high,none,0.5011,functional,250,medium
network,low,none,required,changed,none,low,none,0.0795,functional,212,medium
local,low,high,required,changed,high,none,none,0.1081,unproven,184,medium
physical,high,none,none,unchanged,high,none,low,0.3282,poc,370,medium
network,high,none,none,unchanged,high,none,high,0.1278,unproven,204,medium
local,low,none,none,changed,none,none,low,0.0493,functional,375,medium
local,high,none,required,unchanged,low,none,low,0.2475,functional,66,low
network,high,none,none,unchanged,none,low,high,0.0144,poc,387,medium
local,high,none,none,unchanged,high,none,none,0.0813,unproven,296,medium
network,high,high,none,unchanged,low,none,high,0.0673,unproven,1090,medium
network,high,low,none,unchanged,high,high,none,0.0134,unproven,491,high
network,high,low,none,changed,high,low,low,0.1208,poc,192,high
local,high,high,none,unchanged,low,high,none,0.1234,functional,88,medium
network,low,none,required,unchanged,high,high,low,0.0977,unproven,37,high
network,low,low,none,unchanged,high,none,low,0.303,high,641,high
network,low,low,none,unchanged,none,high,low,0.1121,high,31,high
adjacent,high,high,none,changed,low,high,none,0.0842,functional,192,medium
network,low,low,none,unchanged,low,high,high,0.0896,functional,50,high
network,low,none,required,changed,low,high,none,0.2482,poc,132,high
local,low,high,none,changed,low,high,low,0.2785,unproven,77,medium
local,high,none,required,unchanged,low,none,high,0.0512,poc,468,medium
network,low,low,required,changed,low,none,low,0.2654,poc,81,medium
network,low,none,required,changed,low,none,high,0.077,poc,72,high
network,low,low,none,unchanged,high,high,none,0.0956,unproven,485,high
network,high,high,required,changed,high,low,none,0.0772,poc,278,medium
physical,low,low,none,unchanged,high,none,low,0.0625,functional,731,medium
local,low,low,none,unchanged,high,low,low,0.0721,functional,305,medium
network,low,none,none,unchanged,none,low,low,0.1697,functional,89,medium
network,low,low,required,unchanged,none,high,none,0.0195,unproven,149,medium
network,high,high,required,unchanged,high,none,high,0.0056,high,372,medium
network,low,none,none,changed,high,high,low,0.0592,unproven,232,critical
adjacent,low,high,required,changed,high,high,none,0.0214,unproven,315,high
network,low,none,none,changed,low,high,none,0.2047,functional,22,high
network,low,low,required,unchanged,high,low,none,0.0668,functional,84,medium
network,high,low,required,changed,low,low,high,0.0972,unproven,162,high
local,low,none,none,changed,high,none,none,0.0543,unproven,243,medium
network,low,low,required,unchanged,high,none,low,0.0587,unproven,746,medium
adjacent,low,none,none,unchanged,high,high,low,0.0891,functional,251,high
network,high,low,none,unchanged,none,none,low,0.0322,poc,165,low
network,low,low,none,unchanged,high,none,low,0.0688,functional,176,high
local,low,low,required,changed,high,low,high,0.1645,unproven,49,high
local,low,none,required,unchanged,low,low,low,0.0675,unproven,201,medium
local,low,none,none,changed,high,none,high,0.1312,unproven,254,high
network,high,none,none,unchanged,high,low,none,0.0877,functional,48,medium
network,low,none,none,unchanged,high,high,high,0.082,functional,101,critical
network,low,low,none,unchanged,low,none,none,0.148,unproven,290,medium
network,low,low,required,unchanged,high,high,none,0.0743,poc,118,high
network,low,high,none,unchanged,low,none,high,0.0034,unproven,156,medium
physical,low,none,required,unchanged,low,low,low,0.0629,unproven,68,low
network,low,none,none,changed,high,none,high,0.2511,poc,28,critical
network,low,high,none,unchanged,high,low,low,0.0517,unproven,48,medium
adjacent,low,none,none,changed,high,none,none,0.1737,unproven,219,high
adjacent,low,none,none,unchanged,low,low,low,0.2902,functional,454,medium
adjacent,low,none,none,changed,low,high,low,0.1873,high,405,high
network,high,none,none,unchanged,none,low,none,0.0929,poc,304,low
network,low,none,none,unchanged,high,low,low,0.0585,unproven,327,high
local,low,low,none,unchanged,low,high,high,0.0167,poc,157,high
local,low,low,none,unchanged,low,low,low,0.0848,unproven,222,medium
adjacent,high,high,required,unchanged,none,low,none,0.1715,unproven,102,low
local,low,high,none,unchanged,high,low,none,0.053,unproven,319,medium
network,high,none,required,changed,low,none,high,0.113,unproven,67,high
local,low,none,none,unchanged,high,high,high,0.0824,poc,59,high
physical,low,low,none,unchanged,none,high,high,0.0632,functional,242,medium
network,low,high,none,unchanged,high,high,high,0.0444,unproven,214,high
local,low,low,none,unchanged,low,none,high,0.3202,high,713,medium
local,low,high,none,unchanged,low,high,none,0.1044,poc,284,medium
network,low,none,required,unchanged,high,high,high,0.0789,high,56,high
network,low,low,required,unchanged,low,high,low,0.1448,poc,232,high
local,high,none,required,unchanged,low,none,none,0.0505,unproven,359,low
network,high,low,required,unchanged,low,none,high,0.0865,functional,218,medium
local,low,none,none,unchanged,low,high,low,0.1531,functional,613,medium
adjacent,low,low,none,unchanged,none,high,high,0.0364,unproven,73,high
physical,low,low,required,unchanged,none,none,low,0.1409,functional,143,low
physical,low,none,none,unchanged,low,low,none,0.165,functional,239,low
network,low,none,none,unchanged,high,low,high,0.0618,poc,272,critical
network,low,low,required,unchanged,high,low,high,0.1316,unproven,159,high
network,low,none,none,unchanged,low,none,low,0.0911,unproven,489,medium
local,low,high,none,unchanged,low,low,none,0.1255,functional,99,low
adjacent,high,low,none,unchanged,high,none,high,0.1107,unproven,592,medium
adjacent,high,high,none,unchanged,low,none,high,0.0696,poc,68,medium
local,low,none,none,unchanged,low,none,high,0.2102,unproven,99,high
network,low,none,none,unchanged,none,none,high,0.122,high,400,high
network,low,none,none,unchanged,high,none,high,0.1131,unproven,92,critical
network,high,none,required,unchanged,low,high,high,0.0327,functional,381,high
adjacent,low,none,none,unchanged,high,low,none,0.0302,poc,265,medium
network,low,low,none,unchanged,low,none,high,0.0094,high,54,medium
network,low,none,required,unchanged,low,high,none,0.2059,unproven,240,high
network,low,none,required,unchanged,none,high,low,0.0994,poc,153,high
network,low,none,none,unchanged,low,high,none,0.0092,unproven,155,high
network,low,none,required,unchanged,high,low,none,0.0132,high,147,high
network,low,none,none,changed,low,low,none,0.0883,high,134,high
network,low,low,none,unchanged,high,low,none,0.1342,high,260,medium
physical,high,none,required,unchanged,low,low,high,0.2256,poc,428,medium
network,low,none,required,unchanged,none,none,none,0.0748,poc,210,low
local,high,none,none,changed,none,high,none,0.2535,unproven,199,medium
adjacent,low,none,required,unchanged,high,high,high,0.0798,unproven,448,high
local,high,low,none,unchanged,high,high,low,0.182,unproven,230,medium
network,low,low,none,changed,low,low,none,0.0769,unproven,46,medium
network,low,high,none,changed,high,high,low,0.0587,unproven,149,high
adjacent,high,high,none,changed,low,none,none,0.0307,poc,140,low
local,low,none,none,changed,high,low,high,0.2198,poc,254,critical
network,low,none,none,unchanged,high,none,high,0.1053,functional,129,critical
network,low,low,none,changed,none,high,high,0.0777,poc,145,critical
network,high,low,required,unchanged,high,high,none,0.144,unproven,252,medium
physical,low,none,none,unchanged,low,high,none,0.238,poc,266,medium
local,high,none,none,unchanged,none,none,low,0.1711,unproven,28,medium
physical,high,none,none,unchanged,low,high,high,0.2977,functional,165,medium
local,low,low,required,changed,high,high,low,0.122,functional,191,high
network,low,low,required,changed,high,high,high,0.0979,unproven,42,high
local,low,none,required,unchanged,low,high,high,0.1837,functional,165,high
local,low,none,none,unchanged,high,none,high,0.0924,poc,308,high
network,low,low,none,unchanged,high,none,none,0.0812,poc,82,medium
adjacent,low,high,none,unchanged,low,low,none,0.1054,functional,494,low
physical,low,none,none,changed,low,high,low,0.0198,unproven,311,high
